0	1	1	1	1	1	1	1
8	0	0	0	0	1	0	0
16	0	0	0	0	0	0	0
24	0	0	0	0	0	0	0
32	0	0	0	0	0	0	0
40	0	0	0	0	0	0	0
48	0	0	0	0	0	0	0
56	0	0	0	0	0	0	0
64	11	0	19	19	11	11	11
72	35	0	71	70	24	24	24
80	68	0	127	118	44	44	44
88	109	0	157	135	65	65	65
96	136	0	163	127	71	71	71
104	139	0	161	113	68	68	68
112	131	0	160	113	63	63	63
120	116	0	149	110	53	53	53
128	179	256	126	93	247	119	126
136	554	1392	108	81	835	415	428
144	1403	3938	450	494	1991	1023	975
152	2730	7930	2039	2313	3753	2009	1755
160	4725	12744	5594	6103	6046	3472	2970
168	7421	17461	10940	11363	8457	5256	4451
176	10813	21682	17244	16831	10861	7371	6362
184	15127	25376	23769	21511	13046	9775	8765
192	20185	28365	30235	25540	18088	12763	11434
200	25993	30375	36226	29091	33856	18400	14610
208	35857	31061	41023	31744	75739	31620	21325
216	58235	30430	44296	33265	164824	58884	36979
224	105579	28790	52833	42798	322572	109093	68641
232	196235	26228	95335	97280	561209	194319	127610
240	352923	22950	229804	263114	886834	327539	225316
248	594649	19352	528424	609784	1291945	522512	369333
256	942277	15753	1050361	1170496	1818068	796547	573000
264	1417201	12418	1826286	1925864	2664548	1181823	844475
272	2048019	74997	2863556	2834153	4394184	1767421	1204540
280	2927745	588567	4148352	3856422	8149193	2746708	1725951
288	4297331	2730017	5636024	4950135	15811348	4460084	2577155
296	6618591	8994997	7251920	6060282	29895120	7468229	4051372
304	10703865	23403552	9034170	7318616	53351256	12661067	6666923
312	17879888	51082813	11656175	9796876	89134636	21319772	11230933
320	30057849	97405594	17354842	16626897	140778592	35192433	18846703
328	49851379	167107124	30796604	33669816	215206598	56690724	31025040
336	80719117	263660048	59264215	68848559	330801169	89487079	49718892
344	126974894	388877718	112017002	130214788	532227264	139919227	77304675
352	194642488	542435604	199299792	224223272	912564937	219353205	117456902
360	293959716	721369921	331294394	355096818	1637129228	347726135	176770739
368	443802245	919923065	516824577	524763442	2964767369	559411130	267560723
376	679155530	1129823594	761826811	732614421	5257434613	911949233	412529910
384	1062790250	1340968495	1070492030	979207024	8991776655	1497144839	651767414
392	1699531762	1542295630	1458471397	1289359430	14815987117	2455544366	1050019263
400	2753597491	1722682438	1992423814	1772371042	23772167196	3999412607	1706759564
408	4471157836	1872009000	2863535129	2718094595	37869987159	6454086256	2768728468
416	7206641583	1998933761	4484415741	4692943244	61263246672	10334159172	4443896222
424	11464171533	2254238672	7582995934	8580484067	1.02E+11	16476118194	7029299116
432	17984589108	3401525932	13268891533	15541861060	1.76E+11	26264311388	10970616074
440	27912046529	8065971130	23058209910	26919023411	3.07E+11	42012947474	16969476393
448	43103667267	23261505964	38845230379	44118208152	5.36E+11	67578311737	26185954255
456	66680428787	64467839700	62807717302	68488827071	9.21E+11	1.09E+11	40586666179
464	1.04E+11	1.61E+11	97288798628	1.01E+11	1.55E+12	1.77E+11	63482975418
472	1.64E+11	3.62E+11	1.45E+11	1.44E+11	2.55E+12	2.88E+11	1.00317E+11
480	2.60E+11	7.41E+11	2.10E+11	2.01E+11	4.17E+12	4.65E+11	1.59793E+11
488	4.15E+11	1.40E+12	3.00E+11	2.85E+11	6.82E+12	7.51E+11	2.55391E+11
496	6.62E+11	2.47E+12	4.35E+11	4.25E+11	1.13E+13	1.21E+12	4.07504E+11
504	1.05E+12	4.11E+12	6.56E+11	6.78E+11	1.91E+13	1.94E+12	6.46767E+11
512	1.66E+12	6.50E+12	1.04E+12	1.14E+12	3.26E+13	3.11E+12	1.01957E+12
520	2.61E+12	9.81E+12	1.70E+12	1.97E+12	5.61E+13	5.00E+12	1.59754E+12
528	4.09E+12	1.42E+13	2.84E+12	3.36E+12	9.59E+13	8.05E+12	2.4942E+12
536	6.38E+12	1.99E+13	4.72E+12	5.56E+12	1.62E+14	1.30E+13	3.89288E+12
544	9.97E+12	2.69E+13	7.70E+12	8.85E+12	2.71E+14	2.10E+13	6.09201E+12
552	1.56E+13	3.53E+13	1.22E+13	1.36E+13	4.49E+14	3.39E+13	9.5758E+12
560	2.47E+13	4.51E+13	1.89E+13	2.02E+13	7.43E+14	5.47E+13	1.51211E+13
568	3.90E+13	5.61E+13	2.84E+13	2.94E+13	1.23E+15	8.82E+13	2.39547E+13
576	6.18E+13	6.85E+13	4.21E+13	4.28E+13	2.07E+15	1.42E+14	3.79883E+13
584	9.80E+13	8.37E+13	6.24E+13	6.37E+13	3.50E+15	2.29E+14	6.01751E+13
592	1.55E+14	1.08E+14	9.36E+13	9.85E+13	5.94E+15	3.68E+14	9.50679E+13
600	2.44E+14	1.58E+14	1.44E+14	1.58E+14	1.01E+16	5.92E+14	1.49723E+14
608	3.84E+14	2.82E+14	2.27E+14	2.62E+14	1.71E+16	9.53E+14	2.35189E+14
616	6.03E+14	5.86E+14	3.66E+14	4.35E+14	2.88E+16	1.54E+15	3.68943E+14
624	9.46E+14	1.29E+15	5.95E+14	7.15E+14	4.81E+16	2.48E+15	5.78858E+14
632	1.49E+15	2.80E+15	9.64E+14	1.15E+15	8.01E+16	3.99E+15	9.09519E+14
640	2.34E+15	5.83E+15	1.54E+15	1.80E+15	1.34E+17	6.44E+15	1.43207E+15
648	3.68E+15	1.15E+16	2.42E+15	2.76E+15	2.23E+17	1.04E+16	2.25937E+15
656	5.82E+15	2.16E+16	3.74E+15	4.14E+15	3.76E+17	1.67E+16	3.56922E+15
664	9.19E+15	3.85E+16	5.69E+15	6.17E+15	6.35E+17	2.69E+16	5.63997E+15
672	1.45E+16	6.58E+16	8.58E+15	9.25E+15	1.07E+18	4.34E+16	8.90596E+15
680	2.29E+16	1.08E+17	1.30E+16	1.42E+16	1.81E+18	6.99E+16	1.40449E+16
688	3.61E+16	1.70E+17	1.98E+16	2.22E+16	3.06E+18	1.13E+17	2.21176E+16
696	5.68E+16	2.60E+17	3.08E+16	3.56E+16	5.13E+18	1.81E+17	3.47921E+16
704	8.93E+16	3.85E+17	4.85E+16	5.78E+16	8.59E+18	2.92E+17	5.47038E+16
712	1.40E+17	5.53E+17	7.72E+16	9.40E+16	1.44E+19	4.71E+17	8.60298E+16
720	2.21E+17	7.74E+17	1.24E+17	1.51E+17	2.40E+19	7.60E+17	1.35396E+17
728	3.48E+17	1.06E+18	1.97E+17	2.39E+17	4.04E+19	1.22E+18	2.13298E+17
736	5.48E+17	1.41E+18	3.11E+17	3.72E+17	6.79E+19	1.97E+18	3.36315E+17
744	8.65E+17	1.87E+18	4.87E+17	5.70E+17	1.15E+20	3.18E+18	5.30546E+17
752	1.36E+18	2.46E+18	7.52E+17	8.65E+17	1.93E+20	5.12E+18	8.36976E+17
760	2.15E+18	3.35E+18	1.15E+18	1.31E+18	3.26E+20	8.25E+18	1.31988E+18
768	3.39E+18	4.85E+18	1.76E+18	2.01E+18	5.47E+20	1.33E+19	2.0801E+18
776	5.34E+18	7.74E+18	2.70E+18	3.12E+18	9.18E+20	2.14E+19	3.27608E+18
784	8.41E+18	1.37E+19	4.16E+18	4.91E+18	1.54E+21	3.45E+19	5.15738E+18
792	1.32E+19	2.60E+19	6.49E+18	7.84E+18	2.58E+21	5.56E+19	8.1178E+18
800	2.08E+19	5.08E+19	1.02E+19	1.26E+19	4.33E+21	8.96E+19	1.27796E+19
808	3.28E+19	9.90E+19	1.61E+19	2.01E+19	7.28E+21	1.44E+20	2.01261E+19
