#M	#F	#H	%M	%F	%H
0	2036388368	3945333060	0.0	34.043517280290175	65.95648271970983
0	3303484141	6420143536	0.0	33.973782735572755	66.02621726442725
0	5312133548	10399387696	0.0	33.810434174403234	66.18956582559677
0	8494957763	16754243824	0.0	33.64446092970235	66.35553907029765
0	13559790142	26875396797	0.0	33.53462953554815	66.46537046445185
0	21665511869	43018360893	0.0	33.49445687755402	66.50554312244599
0	34733378964	68888016732	0.0	33.51950505077088	66.48049494922913
0	55962267324	110596150118	0.0	33.599182907394955	66.40081709260505
0	90577256734	178164358076	0.0	33.70421689176722	66.29578310823278
0	146892258125	287843860054	0.0	33.78883234737768	66.21116765262232
0	237999977761	465710175408	0.0	33.82073950322029	66.1792604967797
0	384634728026	753323245214	0.0	33.80043350202696	66.19956649797304
0	619864462646	1216784532158	0.0	33.74975100847451	66.25024899152548
0	996623022605	1961452899935	0.0	33.69159712943519	66.30840287056482
0	1600189773261	3156178373245	0.0	33.643101710629566	66.35689828937043
0	2569314332664	5073454566898	0.0	33.61758501962875	66.38241498037125
0	4130939141795	8155383392094	0.0	33.62225865714296	66.37774134285705
0	6654776325715	13120431190825	0.0	33.6521187964725	66.3478812035275
0	10738175030558	21134183657189	0.0	33.69118406252807	66.30881593747192
0	17340835124757	34080990759005	0.0	33.7227137051796	66.2772862948204
0	28001309208867	54995589764038	0.0	33.7377776222799	66.2622223777201
0	45183386466247	88750637452758	0.0	33.73555512195401	66.26444487804599
0	72831663214279	143158468812094	0.0	33.71990309510346	66.28009690489654
0	117276831678683	230751068253177	0.0	33.69753738181465	66.30246261818534
0	188725188611057	371673445578712	0.0	33.676953707055	66.323046292945
0	303690654938920	598392278879739	0.0	33.66549166974589	66.33450833025411
0	488911903286668	963336180028501	0.0	33.66586665899311	66.33413334100689
0	787625172395487	1551241142573574	0.0	33.67551053921206	66.32448946078793
0	1269621677360045	2499020602638478	0.0	33.68910029212278	66.31089970787723
0	2047369091291793	4027647636413867	0.0	33.7014560298177	66.29854397018231
0	3301798737786397	6493234009365189	0.0	33.70890963837325	66.29109036162676
0	5323634823595731	10468928047480647	0.0	33.709758619013094	66.29024138098691
0	8580067516472282	16876573945266389	0.0	33.7046327551422	66.2953672448578
0	13822843203639661	27199015797297494	0.0	33.696286663468555	66.30371333653144
0	22263454700232254	43823143831561749	0.0	33.68830473173981	66.31169526826018
0	35856292205673476	70594545748304779	0.0	33.68342879665746	66.31657120334255
0	57755431367128359	113713838630986267	0.0	33.68267175089939	66.31732824910061
0	93050755721431407	183183304644182926	0.0	33.685475135930915	66.31452486406909
0	149952166141648712	295137782292149224	0.0	33.69030612111259	66.3096938788874
0	241691290922876987	475594871840306863	0.0	33.695239566843945	66.30476043315605
0	389575691841693826	766484735701297006	0.0	33.698557840066414	66.30144215993359
0	627903628506207833	1235347860510184138	0.0	33.6993493475042	66.3006506524958
0	1011888695523441762	1990945835252340543	0.0	33.69778404879407	66.30221595120594
0	1630448623205581306	3208416153136698417	0.0	33.69485816543204	66.30514183456796
0	2626845592483745515	5169839140510501628	0.0	33.691827776072316	66.30817222392768
0	4231995438910005823	8329687885153182144	0.0	33.6897160176231	66.3102839823769
0	6818200485237109070	13420418586192920551	0.0	33.68905981763382	66.31094018236618
0	10985747575344603793	21622739147511214498	0.0	33.689841754123826	66.31015824587617
0	17702328528489060590	34839992858474256333	0.0	33.69156150927378	66.30843849072622
0	28527403534469497206	56140073965202470179	0.0	33.69346102767739	66.30653897232261
0	45973354620182307567	90466970670266919681	0.0	33.694843897737634	66.30515610226237
0	74087141159906066489	145786483121739001906	0.0	33.695329033647454	66.30467096635255
0	119387527804628113864	234931528837937474821	0.0	33.69492144619965	66.30507855380036
0	192375831950667809593	378575316233896753768	0.0	33.69392154869277	66.30607845130723
0	309971872535185274609	610023420065782962697	0.0	33.692767237846084	66.30723276215392
0	499441973573834226150	982939102580616008465	0.0	33.69187462035552	66.30812537964448
0	804731308659334091398	1583797418379015728440	0.0	33.69150638841839	66.30849361158161
0	1296668061836365111838	2551959471323188877957	0.0	33.691700500096395	66.3082994999036
0	2089401470464398335714	4112021739254767340476	0.0	33.69228965360385	66.30771034639615
