#M	#F	#H	%M	%F	%H
2276061	23114250	554469037	0.39251949767652966	3.986182180165525	95.62129832215794
3062572	33704866	783706127	0.3732688206718762	4.107977080285335	95.5187540990428
6552358	78606004	1066065506	0.5691645371619415	6.828038071913915	92.60279739092414
19012512	230021376	1401911570	1.1516135743837517	13.932705946485605	84.91568047913064
54854351	645300010	1788803182	2.2039086666734677	25.926517381337266	71.86957395198927
141694409	1614011838	2221441159	3.5627145422429436	40.582147786754675	55.85513767100238
325538029	3604714513	2691925656	4.915875400307372	54.43397029226244	40.65015430743019
675033372	7303030913	3190296624	6.044157934187332	65.39035559922556	28.56548646658711
1284069759	13635384110	3721973522	6.8882587801186475	73.14560105297035	19.966140166911
2272261541	23772692048	4414458640	7.459965162547063	78.04711354661774	14.492921290835195
3782786734	39107703364	5899311210	7.753232504719673	80.15548806423928	12.091279431041048
5977011876	61201692555	10303069132	7.7140875862116465	78.98850238015943	13.297410033628918
9025741892	91700749743	23272187330	7.278901652289067	73.95300539361678	18.768092954094158
13097297712	132226243625	57398016959	6.460732554589104	65.22554618090119	28.31372126450971
18343627185	184249198624	137186774697	5.3986840757016195	54.22609195773259	40.37522396656579
24885875056	248958697999	305396333075	4.296291023758398	42.980165137564676	52.723543838676925
32801033873	327137952310	630273750964	3.312523929706894	33.0371383883174	63.65033768197571
42111320927	419062793565	1213002170151	2.5153456845185085	25.030983738630642	72.45367057685085
52794164369	524702701564	2194462340261	1.9045794126778761	18.928947453178278	79.16647313414384
64936252531	645876797320	3760241913348	1.4523698112746681	14.44573602060756	84.10189416811777
79502489848	796065570070	6142727771175	1.1327890952641506	11.342718933892876	87.52449197084297
100968235873	1031878932643	9619200239740	0.9390605532065563	9.597045971455334	89.46389347533811
144341765830	1532679887990	14505182921736	0.8919783775817245	9.471391124947134	89.63663049747115
250636328579	2768577130624	21142756237352	1.0373174527022753	11.458408256421007	87.50427429087672
516097409290	5806882685615	29884093818341	1.4254049098985346	16.037978378282066	82.5366167118194
1140821372130	12808146726760	41071068720823	2.073465301137817	23.279058806756375	74.6474758921058
2501448525179	27752815222143	55016602310940	2.93353244878487	32.54665573958246	64.51981181163266
5250404700500	57418648515133	72022887572177	3.898083782734517	42.629609596010475	53.47230662125501
10440911366398	112598295703344	92582145728372	4.842243697531113	52.2203827413928	42.93737356107609
19672866320352	209507037242061	118204073932787	5.663147293724516	60.309931031564595	34.026921674710884
35249927353921	371285219403549	153938083604463	6.2893150724001385	66.24495146071234	27.465733466887517
60333072326728	629453622941688	214708057839711	6.670361781470228	69.59173845715394	23.737899761375832
99071437197945	1025141535518224	339028317809290	6.770683539306619	70.05963692769286	23.169679533000522
156688389681805	1609884409702675	615315900385476	6.578325414488848	67.58856574021105	25.8331088453001
239500481537807	2445787039694429	1227500488576918	6.120967477343313	62.50752746029096	31.371505062365728
354849690656027	3604873199483378	2527544211907002	5.469941118103335	55.56844111361195	38.96161776828472
510939480637687	5167563274759520	5142425885618631	4.721771093665779	47.75526617163242	47.52296273470181
716615509329208	7220886470468927	10121788599876034	3.9681265782154407	39.98433071671195	56.04754270507261
981356609322781	9859892949196747	19129544868373241	3.274376365686892	32.8983369901916	63.82728664412151
1316515258200439	13205030193884954	34678164857635997	2.67585977623187	26.83965029622495	70.48448992754318
1740951392943574	17472238195437836	60398281880424990	2.186809715765295	21.94688513235666	75.86630515187805
2298898848293919	23183594915180199	101329099730715610	1.812845959071755	18.281920663856674	79.90523337707157
