0	0	1	0.0	0.0	100.0
0	0	1	0.0	0.0	100.0
0	0	1	0.0	0.0	100.0
1	6	12	5.2631578947368425	31.57894736842105	63.1578947368421
4	21	25	8.0	42.0	50.0
6	29	56	6.593406593406593	31.86813186813187	61.53846153846154
7	32	90	5.426356589147287	24.8062015503876	69.76744186046511
7	34	127	4.166666666666667	20.238095238095237	75.5952380952381
8	39	158	3.902439024390244	19.024390243902438	77.07317073170732
8	47	190	3.2653061224489797	19.183673469387756	77.55102040816327
8	52	211	2.952029520295203	19.18819188191882	77.85977859778598
8	65	316	2.056555269922879	16.709511568123393	81.23393316195373
8	132	639	1.0269576379974326	16.944801026957638	82.02824133504492
25	366	1291	1.4863258026159334	21.759809750297265	76.7538644470868
92	774	2394	2.8220858895705523	23.742331288343557	73.43558282208589
207	1332	4261	3.5689655172413794	22.96551724137931	73.46551724137932
382	2185	6845	4.058648533786656	23.215044623884403	72.72630684232894
601	3289	10623	4.1411148625370355	22.66244057052298	73.19644456693999
860	4577	15609	4.086287180461846	21.74760049415566	74.1661123253825
1119	5953	22042	3.8435117125781413	20.44720752902384	75.70928075839802
1379	7509	30182	3.5295623240337854	19.219349884822115	77.2510877911441
1694	10290	43326	3.0627372988609656	18.604230699692643	78.3330320014464
2523	17571	67133	2.8924530248661537	20.14399211253396	76.96355486259988
4707	33522	111954	3.1341763049080122	22.320768662232076	74.5450550328599
9191	61889	194740	3.4576028891731245	23.282296290723046	73.26010082010383
16981	108776	337270	3.66738872679131	23.49236653586076	72.84024473734793
29539	180917	564073	3.8138016781811914	23.35832486582168	72.82787345599714
48183	284160	910214	3.877729552849487	22.868971000927925	73.25329944622258
74581	427461	1408319	3.90402651645422	22.37592790053817	73.7200455830076
109881	620699	2113952	3.862885001821038	21.820777547941102	74.31633745023785
155871	886919	3132258	3.7333942028929967	21.243324627645	75.02328116946201
218208	1293989	4687235	3.5198063306444847	20.87270253145772	75.6074911378978
318000	1991546	7177430	3.3519637869854417	20.992421610426756	75.6556146025878
496889	3225634	11345789	3.297575733765003	21.40673752972463	75.29568673651036
825647	5396439	18398633	3.3534642103668864	21.91828353997298	74.72825224966013
1413378	9103297	30182319	3.4727590564032123	22.367375960201866	74.15986498339493
2410325	15122434	49413303	3.600398481989874	22.588982157008726	73.8106193610014
4003866	24460711	79886212	3.695280889925038	22.575480276382667	73.72923883369229
6427814	38414309	126682901	3.7474497015665773	22.395746174039306	73.85680412439412
