#M	#F	#H	%M	%F	%H
4127166	30943549	191289347	1.8232748142647177	13.6700567788323	84.50666840690297
6527348	46737346	297134333	1.8628327983342259	13.338320714001298	84.79884648766448
9995572	68890650	452660139	1.8804704035966489	12.960421715689256	85.1591078807141
14950983	100995940	682754923	1.8719104099829513	12.645011465267103	85.48307812474995
22180584	150431432	1032156361	1.8410662516916312	12.486336367376282	85.67259738093209
33207110	231358651	1581524637	1.798780278364245	12.532357638100883	85.66886208353488
50883959	368741392	2470738931	1.760468717278454	12.757609630605032	85.48192165211651
80240340	602550011	3930208656	1.7394397847959475	13.062001749526932	85.19855846567712
129421689	991919627	6321885839	1.738784619962334	13.326472595071566	84.9347427849661
210909223	1620423553	10187265839	1.7548570324727497	13.48263308317498	84.76250988435227
342852721	2601366756	16311987689	1.7804789803329644	13.509237481580177	84.71028353808686
550590003	4088191262	25824273139	1.8074024872821155	13.42016203556789	84.77243547715
869193538	6301533894	40373187053	1.82819094181702	13.254133493757903	84.91767556442508
1349280624	9590089241	62469457933	1.8380359208470574	13.0639454799485	85.09801859920444
2069077076	14548431772	96131741473	1.8351138212531655	12.903351224580422	85.26153495416641
3157881540	22225820048	148012234716	1.8211969711121494	12.817959014352796	85.36084401453506
4837548425	34449612204	229234445063	1.8015490457586385	12.829363251877183	85.36908770236418
7488164406	54279736001	358213721673	1.7829743046646027	12.924312195418054	85.29271349991734
11744367680	86618580396	564758838189	1.7710725123584852	13.06224319425166	85.16668429338985
18631365307	139000151396	895798641619	1.7686379262843344	13.19500398748904	85.03635808622663
29745123989	222600408669	1423410037489	1.7750276065852915	13.283584589217455	84.94138780419725
47492366484	353703847161	2256393600351	1.787046527416871	13.309196374032023	84.90375709855111
75434697683	556143858027	3558117657743	1.8004813198814094	13.274085511050593	84.925433169068
118838152212	865723418868	5575905451689	1.8114282382573665	13.19606387568733	84.99250788605531
185623022707	1338377509783	8691281941887	1.8171110115907059	13.101718069373542	85.08117091903576
288066867312	2064737673121	13505733735129	1.8164780530618696	13.01972248162846	85.16379946530967
445790667182	3194484790879	20984043946757	1.8103674658101474	12.972885619141078	85.21674691504877
690763728165	4974790049190	32685744610923	1.8011482197331046	12.971633968748591	85.2272178115183
1075317050169	7808047438750	51125513113677	1.791929949582129	13.011487217704971	85.1965828327129
1684414575631	12335089610220	80317586062052	1.785527379744938	13.07554597858099	85.13892664167408
2653710611151	19553036225710	126583823450107	1.783520693571418	13.141314122258308	85.07516518417027
4195666439828	30985090400251	199750085972510	1.7859155441650556	13.189026195665882	85.02505826016906
6637546937374	48935697536884	314947531598603	1.7914101896593135	13.207274921409818	85.00131488893086
10478377741201	76896258978879	495403494163206	1.7980046240443988	13.194774289545046	85.00722108641055
16478191231372	120219998891490	776894330169436	1.803669673882609	13.159039311423696	85.0372910146937
25803561065988	187262550861690	1214988191478122	1.806903351255515	13.113125349301017	85.07997129944347
40269358374453	291289918710116	1896888800910506	1.8070584085891364	13.071424978956129	85.12151661245474
62739687048342	453593853965321	2960647028063275	1.804430188834734	13.045625218599948	85.14994459256532
97782068079617	708424173754492	4625828404285797	1.800100228548111	13.04159895704123	85.15830081441065
152708939978996	1110570070129930	7241569756655969	1.7955515044047512	13.058081343783526	85.14636715181172
239194288368488	1746770142509438	11360674583438358	1.7921687108785669	13.0877154962816	85.12011579283984
375734658949341	2752744046738721	17852711603688153	1.7908166953780034	13.120056613320724	85.08912669130127
591358082696817	4338779439470803	28076433838593292	1.7916374173896752	13.14519885161068	85.06316373099965
931226867441414	6828947160512516	44144531087744930	1.7941087717686683	13.156701584741427	85.04918964348991
1465219507641060	10722755466564082	69335442003801003	1.7972989380908253	13.15297599640227	85.0497250655069
2301339878142681	16794155369243891	108742885527446374	1.8001947961122307	13.13702134480578	85.06278385908199
3607057780404041	26252214877384745	170310938826281312	1.8019952887401016	13.114945866695027	85.08305884456487
5643659763882855	41001556924766921	266489937958544533	1.8023079427927855	13.093884961898606	85.10380709530861
8821639052718912	64060054361844636	416878846277502251	1.8012147443045265	13.079872543860319	85.11891271183515
13789416854574455	100218606070432522	652411409667471260	1.799199794286347	13.076208901884788	85.12459130382886
21573805971478588	157067544928759671	1021927162778580675	1.7969658312436887	13.08276396883577	85.12027019992054
33799565634527205	246575236393594144	1602399243327030941	1.795200317208086	13.096379621436839	85.10842006135508
53028986877192495	387504097746133179	2514768157525250958	1.7943682397209402	13.112169149443735	85.09346261083532
83284234083819202	609118393319793586	3948425072558083962	1.794598711012404	13.125210257748224	85.08019103123937
130851291269408187	956925393266024553	6199184308590465102	1.7956908427648481	13.132022995165382	85.07228616206977
205524838010496380	1501670131580558205	9728527259394440525	1.7972178223213913	13.131397401157207	85.0713847765214
322553611561027680	2353577323753985835	15256655229043840989	1.7986809668321266	13.124437564708632	85.07688146845923
505708168004711836	3685040931720476660	23909423595930240446	1.7996621354675852	13.11394407298508	85.08639379154734
792148436132156529	5766791325770300417	37450937744715070136	1.7999332900052845	13.103402355308031	85.09666435468668
1240160505361475994	9025296818950593225	58651504253714689905	1.799499683336133	13.095900649555315	85.10459966710856
1941423440229788454	14133210233369001120	91867849280079817590	1.7985721535263481	13.09327879685146	85.1081490496222
3040353971666746545	22150783798545696431	143953993466880701924	1.7974824042703534	13.095726513993847	85.10679108173579
4764418875164546506	34745638896794199854	225685094349106707941	1.7965708788633963	13.101913296262786	85.10151582487381
7471374937927488635	54533334292577528171	353976609093621749961	1.796084249174358	13.10956331218844	85.0943524386372
