#M	#F	#H	%M	%F	%H
1643240	12858434	206335351	0.7440962402024751	5.822589758216495	93.43331400158102
3001119	23610195	335083564	0.8297377658745834	6.527655334947817	92.6426068991776
5053535	41287233	516024915	0.8986208000888988	7.341705628221984	91.75967357168912
7897059	68039470	757991590	0.9469711861340894	8.158913034565753	90.89411577930017
11599790	105912637	1072302402	0.9749239728125796	8.901606739009639	90.12346928817779
16182149	156618855	1491047993	0.972573173958526	9.413045010838806	89.61438181520266
21819268	222121692	2111587950	0.9263001573604122	9.429801139651476	89.64389870298811
29404186	307814243	3169825296	0.8384322610634117	8.777028949075905	90.38453878986068
41820930	430961707	5125720626	0.7470019759815223	7.697802193814672	91.5551958302038
65835503	635818925	8736133889	0.6975734228051346	6.736948357431569	92.56547821976329
113813349	1012983326	15101175813	0.7013405345871819	6.242205098320598	93.05645436709221
204530908	1717817722	25679438999	0.7410060201503335	6.223574157911292	93.03541982193838
362549014	2982729966	42275469071	0.7947020368773917	6.53809964419165	92.66719831893096
616394692	5120337827	66992802316	0.8475163403676401	7.040245532459963	92.1122381271724
996709053	8518115618	102239320715	0.8918765827946304	7.622192079388499	91.48593133781687
1534038187	13623468196	151171897342	0.9222892360849771	8.190655344694376	90.88705541922064
2260932142	20936355841	219401751721	0.9319625274521322	8.630024202298934	90.43801327024893
3229108986	31077602313	319071245965	0.9137833641354183	8.7944371385289	90.29177949733568
4563959429	45091679064	476111501508	0.8680571838307201	8.57635931068538	90.5555835054839
6582824271	65224546309	740615813727	0.8102703613283972	8.028395492508844	91.16133414616276
9984610359	96392163096	1199402915375	0.7646473937687279	7.381962203928057	91.85339040230322
16088524189	148397497413	1989346748108	0.7469718362194953	6.8899266229002905	92.36310154088021
27069874061	238726269390	3310048664595	0.7570203829900598	6.676080260889471	92.56689935612047
46133300745	395561834983	5434362874715	0.7851062849109275	6.73175510316615	92.48313861192293
77596149090	660608975591	8717075822110	0.8206646584767545	6.98666680882922	92.19266853269403
126866630221	1091297695641	13611732813710	0.855478827850194	7.358767801086013	91.78575337106379
200409184614	1762313359776	20729868870147	0.8831480766256461	7.766029571426788	91.35082235194757
306087781813	2768137481024	31015844891453	0.8978795890640928	8.120069769570858	90.98205064136505
454950298340	4232873216927	46148780127740	0.8949266192816998	8.326428033335517	90.77864534738278
666497197951	6341687666955	69296616835247	0.8734669157126761	8.310994230579704	90.81553885370762
980127155581	9417297629510	106323576302074	0.8397179140444999	8.068211840024695	91.0920702459308
1475131600302	14070192635503	167496741490052	0.8058975921476498	7.686862896628361	91.50723951122399
2299989020687	21448292877640	269670443769976	0.7838589767740443	7.309790071778293	91.90635095144766
3709236937716	33599467917923	438858720358539	0.7789774649216296	7.056229834035814	92.16479270104256
6104286483144	53942750794665	713077323234740	0.7895607479108684	6.97724112054925	92.23319813153988
10073433273316	87824702340272	1145546244165162	0.810123350680824	7.0630181589544785	92.1268584903647
