0	1	1	1	1	1
8	0	0	0	0	1
16	0	0	0	0	0
24	0	0	0	0	0
32	0	0	0	0	0
40	0	0	0	0	0
48	0	0	0	0	0
56	0	0	0	0	0
64	11	0	19	19	11
72	35	0	71	70	24
80	68	0	127	118	44
88	109	0	157	135	65
96	136	0	163	127	71
104	139	0	161	113	68
112	131	0	160	113	63
120	116	0	149	110	53
128	179	256	126	93	247
136	554	1392	108	81	835
144	1403	3938	450	494	1991
152	2730	7930	2039	2313	3753
160	4725	12744	5594	6103	6046
168	7421	17461	10940	11363	8457
176	10813	21682	17244	16831	10861
184	15127	25376	23769	21511	13046
192	20185	28365	30235	25540	18088
200	25993	30375	36226	29091	33856
208	35857	31061	41023	31744	75739
216	58235	30430	44296	33265	164824
224	105579	28790	52833	42798	322572
232	196235	26228	95335	97280	561209
240	352923	22950	229804	263114	886834
248	594649	19352	528424	609784	1291945
256	942277	15753	1050361	1170496	1818068
264	1417201	12418	1826286	1925864	2664548
272	2048019	74997	2863556	2834153	4394184
280	2927745	588567	4148352	3856422	8149193
288	4297331	2730017	5636024	4950135	15811348
296	6618591	8994997	7251920	6060282	29895120
304	10703865	23403552	9034170	7318616	53351256
312	17879888	51082813	11656175	9796876	89134636
320	30057849	97405594	17354842	16626897	140778592
328	49851379	167107124	30796604	33669816	215206598
336	80719117	263660048	59264215	68848559	330801169
344	126974894	388877718	112017002	130214788	532227264
352	194642488	542435604	199299792	224223272	912564937
360	293959716	721369921	331294394	355096818	1637129228
368	443802245	919923065	516824577	524763442	2964767369
376	679155530	1129823594	761826811	732614421	5257434613
384	1062790250	1340968495	1070492030	979207024	8991776655
392	1699531762	1542295630	1458471397	1289359430	14815987117
400	2753597491	1722682438	1992423814	1772371042	23772167196
408	4471157836	1872009000	2863535129	2718094595	37869987159
416	7206641583	1998933761	4484415741	4692943244	61263246672
424	11464171533	2254238672	7582995934	8580484067	1.02197E+11
432	17984589108	3401525932	13268891533	15541861060	1.75782E+11
440	27912046529	8065971130	23058209910	26919023411	3.07364E+11
448	43103667267	23261505964	38845230379	44118208152	5.36356E+11
456	66680428787	64467839700	62807717302	68488827071	9.21084E+11
464	1.03914E+11	1.6101E+11	97288798628	1.01279E+11	1.54782E+12
472	1.6355E+11	3.61913E+11	1.44922E+11	1.44146E+11	2.55179E+12
480	2.59728E+11	7.41086E+11	2.09698E+11	2.01345E+11	4.16544E+12
488	4.14617E+11	1.4007E+12	3.00093E+11	2.85067E+11	6.81636E+12
496	6.62056E+11	2.4718E+12	4.35406E+11	4.24615E+11	1.13028E+13
504	1.053E+12	4.11145E+12	6.55847E+11	6.78262E+11	1.90723E+13
512	1.66433E+12	6.49556E+12	1.03596E+12	1.14485E+12	3.26254E+13
520	2.6138E+12	9.80732E+12	1.70016E+12	1.97204E+12	5.60682E+13
528	4.08613E+12	1.42216E+13	2.83831E+12	3.35941E+12	9.58935E+13
536	6.37754E+12	1.98863E+13	4.71881E+12	5.55573E+12	1.62232E+14
544	9.96891E+12	2.69029E+13	7.69692E+12	8.85217E+12	2.71181E+14
552	1.56417E+13	3.53078E+13	1.22214E+13	1.35846E+13	4.49411E+14
560	2.46552E+13	4.50615E+13	1.88607E+13	2.01905E+13	7.43116E+14
568	3.90108E+13	5.60852E+13	2.84021E+13	2.94174E+13	1.2343E+15
576	6.18429E+13	6.85185E+13	4.21231E+13	4.28238E+13	2.06826E+15
584	9.8009E+13	8.37481E+13	6.23671E+13	6.37007E+13	3.49699E+15
592	1.55001E+14	1.07539E+14	9.35659E+13	9.84569E+13	5.94489E+15
600	2.44406E+14	1.57862E+14	1.43826E+14	1.58377E+14	1.01079E+16
608	3.84287E+14	2.81596E+14	2.27127E+14	2.6155E+14	1.71102E+16
616	6.03105E+14	5.857E+14	3.66096E+14	4.34714E+14	2.87711E+16
624	9.46117E+14	1.28908E+15	5.95191E+14	7.14777E+14	4.80857E+16
632	1.48563E+15	2.8007E+15	9.64145E+14	1.15011E+15	8.01074E+16
640	2.33717E+15	5.82716E+15	1.5419E+15	1.80288E+15	1.33533E+17
648	3.68441E+15	1.15092E+16	2.42261E+15	2.75659E+15	2.23437E+17
656	5.81752E+15	2.15814E+16	3.73813E+15	4.13786E+15	3.75795E+17
664	9.19182E+15	3.85437E+16	5.68564E+15	6.16656E+15	6.34716E+17
672	1.45186E+16	6.58255E+16	8.58466E+15	9.25219E+15	1.07387E+18
680	2.29077E+16	1.0792E+17	1.29827E+16	1.41523E+16	1.81477E+18
688	3.60936E+16	1.70462E+17	1.98327E+16	2.22025E+16	3.0571E+18
696	5.67988E+16	2.60211E+17	3.07655E+16	3.56165E+16	5.13076E+18
704	8.93167E+16	3.84936E+17	4.84776E+16	5.78442E+16	8.58736E+18
712	1.40444E+17	5.53168E+17	7.72455E+16	9.397E+16	1.4361E+19
720	2.2096E+17	7.73929E+17	1.2358E+17	1.51164E+17	2.40463E+19
728	3.4795E+17	1.05679E+18	1.97059E+17	2.39306E+17	4.03672E+19
736	5.48431E+17	1.41361E+18	3.11488E+17	3.72169E+17	6.79499E+19
744	8.64989E+17	1.8656E+18	4.86768E+17	5.70022E+17	1.14581E+20
752	1.36456E+18	2.46442E+18	7.52279E+17	8.65133E+17	1.93252E+20
760	2.15217E+18	3.34541E+18	1.15323E+18	1.31234E+18	3.25542E+20
768	3.39253E+18	4.84611E+18	1.76222E+18	2.0073E+18	5.47295E+20
776	5.34429E+18	7.74497E+18	2.69924E+18	3.11508E+18	9.18359E+20
784	8.41445E+18	1.37025E+19	4.16406E+18	4.9114E+18	1.53937E+21
792	1.32447E+19	2.60176E+19	6.48574E+18	7.83793E+18	2.58057E+21
800	2.08486E+19	5.08409E+19	1.01944E+19	1.25729E+19	4.33071E+21
808	3.28278E+19	9.90059E+19	1.61209E+19	2.01204E+19	7.27895E+21
